,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
368,Shimanovsk,RU,52.0,127.7,60.53,86,97,5.66,overcast clouds
369,Bamiantong,CN,44.93,130.53,71.64,70,100,6.06,light rain
370,Isangel,VU,-19.55,169.27,78.8,74,75,5.82,broken clouds
371,Fonte Boa,BR,-2.5,-66.27,78.55,72,0,0.63,clear sky
372,Derzhavinsk,KZ,51.1,66.32,51.12,77,0,11.39,clear sky
373,Necochea,AR,-38.55,-58.74,37.0,93,0,4.0,clear sky
374,Amazar,RU,53.86,120.88,66.78,50,0,4.09,clear sky
375,Torbay,CA,47.67,-52.73,59.0,76,75,10.29,broken clouds
376,Belmonte,BR,-15.86,-38.88,75.2,83,75,6.93,broken clouds
377,Dubbo,AU,-32.25,148.62,68.0,60,0,12.75,clear sky
378,Bend,US,44.06,-121.32,91.4,7,1,5.82,clear sky
379,Cheyenne,US,41.14,-104.82,82.4,14,1,8.05,clear sky
380,Kampene,CD,-3.6,26.67,67.32,95,0,1.32,clear sky
381,Smithers,CA,54.78,-127.17,59.0,77,20,5.82,few clouds
382,Qiyang,CN,26.59,111.85,72.07,90,100,2.26,overcast clouds
383,Krasnovishersk,RU,60.41,57.08,49.82,94,91,1.48,overcast clouds
384,Majene,ID,-3.54,118.97,83.52,70,82,11.07,broken clouds
385,Maceio,BR,-9.67,-35.74,68.0,94,40,9.01,scattered clouds
386,Berdigestyakh,RU,62.1,126.7,53.02,58,6,9.53,clear sky
387,Bengkulu,ID,-3.8,102.27,81.59,75,7,6.58,clear sky
388,Buchanan,LR,5.88,-10.05,77.0,94,75,8.5,light rain
389,Tandil,AR,-37.32,-59.13,43.0,80,0,3.83,clear sky
390,Kemijarvi,FI,66.71,27.43,43.18,96,87,3.38,overcast clouds
391,Banda Aceh,ID,5.56,95.32,82.11,71,98,6.35,overcast clouds
392,Praia Da Vitoria,PT,38.73,-27.07,69.01,77,75,22.46,broken clouds
393,Vardo,NO,70.37,31.11,50.54,85,83,12.84,broken clouds
394,Husavik,IS,66.04,-17.34,55.4,71,90,8.05,overcast clouds
395,Redmond,US,47.67,-122.12,78.01,55,0,4.85,clear sky
396,Sobolevo,RU,54.43,31.9,58.06,97,80,4.79,broken clouds
397,Norrkoping,SE,58.59,16.18,50.0,93,80,5.82,broken clouds
398,Malakal,SS,9.53,31.66,71.56,97,100,4.88,overcast clouds
399,Shahr-E Babak,IR,30.12,55.12,57.47,31,0,2.39,clear sky
400,Lasa,IT,46.62,10.7,57.0,93,75,5.82,broken clouds
401,Saskylakh,RU,71.92,114.08,48.79,63,24,7.2,few clouds
402,Saint-Augustin,CA,51.23,-58.65,52.39,79,0,8.79,clear sky
403,Aklavik,CA,68.22,-135.01,51.8,57,20,4.7,few clouds
404,Woodward,US,36.43,-99.39,86.0,35,1,12.75,clear sky
405,Buala,SB,-8.14,159.59,86.05,66,12,6.49,light rain
406,Nemuro,JP,43.32,145.57,77.0,88,75,9.17,broken clouds
407,Razole,IN,16.48,81.83,83.61,78,26,2.19,scattered clouds
408,San Cristobal,VE,7.77,-72.22,66.87,88,37,2.68,scattered clouds
409,Batangafo,CF,7.3,18.28,66.33,98,100,0.89,overcast clouds
410,Nanakuli,US,21.39,-158.15,87.8,48,40,11.41,scattered clouds
411,Natal,BR,-5.79,-35.21,73.4,83,48,6.93,scattered clouds
412,Sivas,TR,39.79,37.0,51.8,81,0,1.21,clear sky
413,Margate,GB,51.38,1.39,61.0,85,53,5.86,broken clouds
414,Schoningen,DE,52.14,10.97,55.0,94,38,4.41,scattered clouds
415,Baykit,RU,61.67,96.37,52.75,59,57,0.25,broken clouds
416,Camacha,PT,33.08,-16.33,69.8,83,20,4.7,few clouds
417,Verkhnyaya Inta,RU,65.98,60.31,51.04,91,92,6.76,overcast clouds
418,Dinar,TR,38.06,30.17,66.2,52,0,8.05,clear sky
419,Del Rio,US,29.36,-100.9,87.8,55,1,12.75,clear sky
420,Grand Junction,US,39.06,-108.55,95.0,8,1,4.7,clear sky
421,Sagua De Tanamo,CU,20.58,-75.24,77.43,89,100,2.71,overcast clouds
422,Williams Lake,CA,52.14,-122.14,60.8,63,75,13.87,broken clouds
423,Samborondon,EC,-1.95,-79.73,78.8,65,20,12.75,few clouds
424,Okha,RU,53.57,142.95,59.85,87,97,8.5,overcast clouds
425,Yuryev-Polskiy,RU,56.5,39.68,56.43,77,100,7.05,overcast clouds
426,Voyvozh,RU,62.89,54.96,48.56,97,14,4.45,few clouds
427,Mildura,AU,-34.2,142.15,75.0,25,0,20.8,clear sky
428,Kruisfontein,ZA,-34.0,24.73,51.01,95,0,1.01,clear sky
429,Luau,AO,-10.71,22.22,65.8,28,0,5.01,clear sky
430,Zhangye,CN,38.93,100.45,76.12,27,48,8.16,scattered clouds
431,Veliki Trnovac,RS,42.48,21.74,55.0,78,0,1.01,clear sky
432,Nizhnevartovsk,RU,60.93,76.55,44.6,93,75,8.95,broken clouds
433,Porto Santo,PT,33.07,-16.34,69.8,83,20,4.7,few clouds
434,Bowling Green,US,36.99,-86.44,75.2,69,1,4.7,clear sky
435,Requena,ES,39.49,-1.1,63.0,83,0,1.01,clear sky
436,Oyama,JP,36.3,139.8,80.6,88,75,4.7,shower rain
437,Sambava,MG,-14.27,50.17,65.39,83,0,8.28,clear sky
438,Kwinana,AU,-32.25,115.77,62.01,59,40,13.87,scattered clouds
439,Korla,CN,41.76,86.15,72.0,79,80,4.0,broken clouds
440,Potsdam,DE,52.4,13.07,55.0,86,56,5.37,broken clouds
441,Dandong,CN,40.13,124.39,69.33,82,100,7.67,light rain
442,Rosetta,EG,31.4,30.42,78.8,78,40,9.17,scattered clouds
443,Qasigiannguit,GL,68.82,-51.19,37.4,74,72,11.41,broken clouds
444,Beira,MZ,-19.84,34.84,67.55,83,37,8.01,light rain
445,San Rafael,AR,-34.62,-68.33,50.13,59,87,6.29,overcast clouds
446,Dinguiraye,GN,11.3,-10.72,70.32,97,100,1.97,moderate rain
447,Parichhatgarh,IN,28.98,77.93,82.27,79,0,2.86,clear sky
448,Thunder Bay,CA,48.4,-89.32,59.0,100,75,10.29,fog
449,Maarianhamina,AX,60.1,19.93,42.8,100,81,1.12,broken clouds
450,Kyrksaeterora,NO,63.29,9.09,53.6,93,75,9.17,broken clouds
451,Ballina,AU,-28.87,153.57,71.6,56,90,11.41,overcast clouds
452,Ambunti,PG,-4.24,142.84,90.07,55,24,4.9,few clouds
453,Kenitra,MA,34.26,-6.58,66.2,100,20,3.36,few clouds
454,Emmett,US,43.87,-116.5,88.0,23,1,2.19,clear sky
455,Ahipara,NZ,-35.17,173.17,60.37,73,30,14.67,scattered clouds
456,Mont-Dore,NC,-22.28,166.58,75.0,99,100,12.1,overcast clouds
457,Garoua Boulai,CM,5.88,14.55,62.47,99,99,2.21,overcast clouds
458,Juneau,US,58.3,-134.42,62.6,48,20,6.93,few clouds
459,Sibu,MY,2.3,111.82,77.0,88,40,5.82,scattered clouds
460,Esperance,AU,-33.87,121.9,53.6,93,90,14.99,overcast clouds
461,Dudinka,RU,69.41,86.18,48.2,93,75,4.47,broken clouds
462,Voh,NC,-20.97,164.7,76.82,59,100,6.29,overcast clouds
463,Zhovti Vody,UA,48.35,33.5,59.0,62,0,4.47,clear sky
464,Tual,ID,-5.67,132.75,80.87,82,54,19.84,broken clouds
465,Karratha,AU,-20.74,116.85,79.72,42,0,12.3,clear sky
466,Beterou,BJ,9.2,2.26,70.97,96,99,2.66,overcast clouds
467,Mindif,CM,10.4,14.44,70.12,94,93,3.58,light rain
468,Abha,SA,18.22,42.51,66.2,37,0,3.0,clear sky
469,Kasganj,IN,27.82,78.65,85.64,70,0,1.52,clear sky
470,Vila Velha,BR,-20.33,-40.29,73.4,83,0,11.41,clear sky
471,Haines Junction,CA,60.75,-137.51,58.8,40,51,3.94,broken clouds
472,Chota,PE,-6.55,-78.65,55.45,87,100,3.31,overcast clouds
473,Altea,ES,38.6,-0.05,81.0,52,0,3.85,clear sky
474,Orasac,BA,44.63,16.07,59.4,86,4,3.85,clear sky
475,Puerto Narino,CO,-3.77,-70.38,78.8,94,75,0.87,broken clouds
476,Chowchilla,US,37.12,-120.26,105.8,29,75,4.7,haze
477,Tshikapa,CD,-6.42,20.8,73.45,73,0,1.36,clear sky
478,Saint Anthony,US,45.02,-93.22,73.99,46,1,14.99,clear sky
479,Goundam,ML,16.41,-3.67,87.49,53,2,8.77,clear sky
480,Suluktu,KG,39.93,69.57,55.4,43,0,15.66,clear sky
481,Igcocolo,PH,10.69,122.32,86.95,66,81,2.04,broken clouds
482,Miquelon,PM,47.1,-56.38,60.51,79,2,11.45,clear sky
483,Itaqui,BR,-29.13,-56.55,57.18,92,96,14.79,overcast clouds
484,Sibolga,ID,1.74,98.78,84.85,58,74,2.08,broken clouds
485,Balkanabat,TM,39.51,54.37,76.57,16,0,24.45,clear sky
486,Ambovombe,MG,-25.17,46.08,63.21,87,0,11.9,clear sky
487,Longyearbyen,SJ,78.22,15.64,39.2,86,75,6.93,light rain
488,Samarai,PG,-10.62,150.67,78.76,85,96,16.98,overcast clouds
489,Sao Joao Da Barra,BR,-21.64,-41.05,72.57,89,0,15.75,clear sky
490,Yenagoa,NG,4.92,6.26,73.15,93,63,3.74,broken clouds
491,Henties Bay,NA,-22.12,14.28,53.01,93,0,5.01,clear sky
492,Maryborough,AU,-25.53,152.7,68.0,84,56,5.01,light rain
493,Changping,CN,40.22,116.22,82.0,61,0,6.71,clear sky
494,Silver City,US,32.77,-108.28,86.0,23,40,3.36,scattered clouds
495,Guanay,BO,-15.5,-67.88,75.54,67,100,0.63,overcast clouds
496,Carlos Chagas,BR,-17.7,-40.77,69.76,89,13,6.11,few clouds
497,Raudeberg,NO,61.99,5.14,51.01,93,100,14.97,light rain
498,Richards Bay,ZA,-28.78,32.04,62.1,87,72,7.02,broken clouds
499,Pitimbu,BR,-7.47,-34.81,69.8,94,1,4.7,clear sky
500,Chopinzinho,BR,-25.86,-52.52,67.35,73,32,3.49,scattered clouds
501,Ciudad Bolivar,VE,8.12,-63.55,80.65,74,95,5.57,overcast clouds
502,Roma,US,43.21,-75.46,59.0,82,1,4.7,clear sky
503,Jacksonville Beach,US,30.29,-81.39,78.8,88,90,21.92,thunderstorm
504,Dickinson,US,29.46,-95.05,84.99,74,75,8.05,broken clouds
505,Dingle,PH,11.0,122.67,86.32,72,96,3.91,overcast clouds
506,Canyon Lake,US,29.88,-98.26,82.99,66,71,4.16,broken clouds
507,Kem,RU,64.96,34.58,49.53,90,24,7.43,few clouds
508,Cortez,US,37.35,-108.59,91.4,9,1,10.29,clear sky
509,Wanning,CN,18.8,110.4,87.8,69,100,10.0,light rain
510,Palmer,US,42.16,-72.33,66.99,87,20,3.36,few clouds
511,Quatre Cocos,MU,-20.21,57.76,66.99,100,75,4.7,light rain
512,Prince Rupert,CA,54.32,-130.32,60.8,93,75,4.7,broken clouds
513,Macenta,GN,8.54,-9.47,67.69,98,84,1.7,light rain
514,Brae,GB,60.4,-1.35,51.8,81,100,18.34,overcast clouds
515,Ucluelet,CA,48.93,-125.55,68.0,72,20,4.7,fog
516,Agirish,RU,61.92,63.02,45.07,87,52,2.26,broken clouds
517,Talakan,RU,50.32,130.37,66.02,80,100,0.76,overcast clouds
518,Gat,IL,31.61,34.76,78.01,78,40,2.24,scattered clouds
519,Cardoso,BR,-20.08,-49.91,74.86,30,32,5.21,scattered clouds
520,Batemans Bay,AU,-35.72,150.18,66.0,58,0,7.0,clear sky
521,Micheweni,TZ,-4.97,39.83,74.28,84,36,9.42,scattered clouds
522,Yulara,AU,-25.24,130.99,87.8,12,0,17.22,clear sky
523,Golkoy,TR,40.69,37.62,69.8,100,20,1.48,few clouds
524,Tacna,PE,-18.01,-70.25,60.01,75,69,1.01,broken clouds
525,Cabra,ES,37.47,-4.44,75.2,57,0,5.82,clear sky
526,Valle De Allende,MX,26.93,-105.4,69.89,68,100,8.03,overcast clouds
527,Kiunga,PG,-6.12,141.29,86.68,64,83,4.36,broken clouds
528,Yar-Sale,RU,66.83,70.83,43.41,63,0,2.77,clear sky
529,Erenhot,CN,43.65,111.98,66.67,54,0,10.85,clear sky
530,Portland,US,45.52,-122.68,88.0,31,20,11.41,few clouds
531,Sola,VU,-13.88,167.55,80.6,83,90,5.82,overcast clouds
532,Zhuzhou,CN,27.83,113.15,73.4,88,100,4.47,light rain
533,Huilong,CN,31.81,121.66,84.0,61,0,5.99,clear sky
534,Aykhal,RU,66.0,111.5,32.0,65,90,4.47,fog
535,Havoysund,NO,71.0,24.66,48.2,100,75,12.75,light rain
536,Udachnyy,RU,66.42,112.4,32.0,60,90,4.47,fog
537,Ossora,RU,59.24,163.07,52.02,74,99,14.52,light rain
538,Gananoque,CA,44.33,-76.17,61.0,76,0,7.96,clear sky
539,Santa Rosa,PH,14.31,121.11,89.01,70,40,3.36,scattered clouds
540,Jacmel,HT,18.23,-72.53,80.37,76,96,1.59,overcast clouds
541,Lumeje,AO,-11.55,20.78,64.08,29,0,5.21,clear sky
542,Ilovka,RU,50.71,38.64,58.15,35,93,4.21,overcast clouds
543,Purranque,CL,-40.92,-73.17,48.2,81,0,3.36,clear sky
544,Murray Bridge,AU,-35.12,139.27,73.0,40,66,24.56,broken clouds
545,Pahalgam,IN,34.03,75.33,59.49,60,0,0.72,clear sky
546,Mantua,IT,45.17,10.78,69.01,91,0,1.99,clear sky
547,Solton,RU,52.84,86.48,47.82,87,53,4.54,broken clouds
548,Kuznechnoye,RU,61.12,29.87,54.0,94,78,6.44,broken clouds
549,Soe,ID,-9.86,124.28,79.83,43,33,11.86,scattered clouds
550,Tomatlan,MX,19.93,-105.25,77.05,89,100,1.1,overcast clouds
551,New Glasgow,CA,45.58,-62.65,60.01,89,0,5.82,clear sky
552,Mandalgovi,MN,45.76,106.27,61.77,58,0,8.14,clear sky
553,Coquimbo,CL,-29.95,-71.34,55.4,82,5,3.36,clear sky
554,Salinopolis,BR,-0.61,-47.36,79.47,82,0,12.71,clear sky
555,Havarna,RO,48.07,26.65,57.99,83,0,2.91,clear sky
556,The Pas,CA,53.83,-101.25,46.4,61,20,18.34,few clouds
557,Fort Nelson,CA,58.81,-122.7,55.4,66,75,3.36,broken clouds
558,Ormond Beach,US,29.29,-81.06,84.99,88,20,6.29,few clouds
559,Marsaxlokk,MT,35.84,14.54,78.8,83,0,11.41,clear sky
560,Prado,BR,-17.34,-39.22,72.21,91,16,6.13,few clouds
561,Owando,CG,-0.48,15.9,70.75,91,100,2.21,overcast clouds
562,Doka,SD,13.52,35.77,71.22,98,3,8.37,clear sky
563,Barra Patuca,HN,15.8,-84.28,80.83,85,99,7.16,overcast clouds
564,Ormara,PK,25.21,64.64,81.81,82,0,18.75,clear sky
565,Havre-Saint-Pierre,CA,50.23,-63.6,46.4,93,1,6.93,clear sky
566,Kieta,PG,-6.22,155.63,84.96,65,17,3.06,light rain
567,Gull Lake,CA,50.1,-108.48,53.6,71,90,11.41,overcast clouds
568,Amasya,TR,40.67,35.83,59.0,82,3,2.04,clear sky
569,Kasongo-Lunda,CD,-6.47,16.82,72.28,77,0,3.38,clear sky
570,Esso,RU,55.93,158.7,52.68,81,100,3.56,overcast clouds
571,Chuguyevka,RU,44.17,133.86,64.62,84,100,0.92,light rain
572,Amapa,BR,1.0,-52.0,73.18,94,9,4.36,clear sky
573,Ozernovskiy,RU,51.5,156.52,55.9,92,71,6.31,broken clouds
574,Alta Floresta,BR,-9.88,-56.09,76.93,28,1,2.62,clear sky
575,Mortka,RU,59.33,66.02,41.04,84,1,6.55,clear sky
576,Khani,GE,41.96,42.96,69.8,94,75,3.36,broken clouds
577,Aasiaat,GL,68.71,-52.87,38.01,77,83,11.56,broken clouds
578,Le Port,RE,-20.94,55.29,73.4,53,90,13.87,overcast clouds
579,Sabha,LY,27.04,14.43,80.6,24,0,10.07,clear sky
580,Ankang,CN,32.68,109.02,79.63,61,0,1.1,clear sky
581,Cananeia,BR,-25.01,-47.93,69.22,93,100,2.84,overcast clouds
582,Jiuquan,CN,39.74,98.52,72.1,24,5,5.14,clear sky
583,Peniche,PT,39.36,-9.38,64.99,88,0,9.15,clear sky
584,Port Macquarie,AU,-31.43,152.92,71.01,51,19,3.0,few clouds
585,Mormugao,IN,15.4,73.8,77.0,94,40,9.17,thunderstorm
586,Kolda,SN,12.88,-14.95,73.2,97,100,4.34,light rain
587,Lensk,RU,60.73,114.93,53.58,77,100,4.9,overcast clouds
588,Egvekinot,RU,66.32,-179.17,45.36,56,100,2.51,overcast clouds
589,Nioro,GM,13.35,-15.75,73.94,97,100,4.85,overcast clouds
590,San Nicolas,PH,18.17,120.6,86.0,74,20,4.7,few clouds
591,Kilis,TR,36.72,37.12,59.0,54,0,4.9,clear sky
592,Petrovskaya,RU,45.43,37.95,64.4,93,40,4.47,scattered clouds
593,Virginia Beach,US,36.85,-75.98,73.99,56,1,4.7,clear sky
594,Northam,GB,51.03,-4.22,52.0,94,96,3.0,overcast clouds
595,Staryy Nadym,RU,65.61,72.68,46.26,74,64,1.88,broken clouds
596,Tadine,NC,-21.55,167.88,73.44,72,92,15.88,overcast clouds
597,Castilho,BR,-20.87,-51.49,75.58,26,1,6.71,clear sky
598,Kayerkan,RU,69.35,87.76,48.2,93,75,4.47,broken clouds
599,Tura,IN,25.52,90.22,75.13,97,100,4.79,overcast clouds
600,Dargaville,NZ,-35.93,173.88,58.44,87,34,10.47,light rain
601,Iberia,US,29.95,-91.75,82.4,74,1,4.7,clear sky
602,Palana,RU,59.12,159.97,46.72,84,100,3.71,light rain
603,Nouadhibou,MR,20.93,-17.03,80.6,65,100,13.87,light rain
604,Walvis Bay,NA,-22.96,14.51,53.01,93,0,10.29,clear sky
605,Jumla,NP,29.27,82.18,65.52,59,0,1.97,clear sky
606,Nuuk,GL,64.18,-51.72,39.2,86,18,6.93,few clouds
607,Lata,PT,40.16,-8.33,69.01,78,0,2.48,clear sky
608,Tres Arroyos,AR,-38.37,-60.28,41.95,65,0,6.91,clear sky
609,Sinjar,IQ,36.32,41.88,79.84,18,0,3.96,clear sky
610,Chissamba,AO,-12.17,17.33,60.39,33,0,2.04,clear sky
611,Mjolby,SE,58.33,15.12,50.0,93,95,6.93,light rain
612,Ilhabela,BR,-23.78,-45.36,69.66,90,10,2.3,clear sky
613,Raiganj,IN,25.62,88.12,84.34,77,100,3.47,moderate rain
614,Bay Roberts,CA,47.6,-53.26,57.99,44,4,6.82,clear sky
615,Uray,RU,60.12,64.78,41.95,79,0,5.5,clear sky
616,Balaipungut,ID,1.05,101.28,78.8,83,20,1.59,few clouds
617,Springbok,ZA,-29.66,17.89,50.18,55,0,4.54,clear sky
618,Ketchikan,US,55.34,-131.65,62.6,77,1,3.36,clear sky
619,Manta,EC,-0.95,-80.73,73.4,78,20,8.05,few clouds
620,Damghan,IR,36.17,54.35,63.63,33,0,2.28,clear sky
621,Nelson Bay,AU,-32.72,152.15,73.99,40,20,14.99,few clouds
622,Zlobin,HR,45.29,14.65,69.01,88,9,2.24,clear sky
623,Ufimskiy,RU,56.71,58.05,47.14,95,6,5.82,clear sky
624,Cienaga,CO,11.01,-74.25,75.99,100,40,6.93,scattered clouds
625,Semirom,IR,31.42,51.57,46.9,53,0,1.14,clear sky
626,Mezen,RU,65.85,44.24,56.17,97,100,7.25,overcast clouds
627,Vega De Alatorre,MX,20.03,-96.63,78.35,80,100,12.03,overcast clouds
628,Kirakira,SB,-10.45,161.92,77.58,87,99,7.67,overcast clouds
629,Uch,FR,45.32,-0.93,55.4,87,0,4.7,clear sky
630,El Retorno,CO,2.33,-72.63,73.96,89,52,2.62,broken clouds
631,Hundested,DK,55.97,11.87,55.99,100,11,1.99,few clouds
632,Beni,CD,0.5,29.47,61.9,100,98,1.21,overcast clouds
633,North Bend,US,43.41,-124.22,75.0,82,1,24.16,clear sky
634,Ayagoz,KZ,47.97,80.44,48.85,50,38,9.6,scattered clouds
635,Kloulklubed,PW,7.04,134.26,87.8,70,75,8.05,broken clouds
636,San Javier,ES,37.81,-0.84,73.0,83,0,3.36,clear sky
637,Dali,CN,25.7,100.18,63.66,83,100,1.3,overcast clouds
638,Luganville,VU,-15.53,167.17,82.4,74,75,9.17,broken clouds
639,Kudahuvadhoo,MV,2.67,72.89,82.51,76,100,12.12,overcast clouds
640,Havelock,US,34.88,-76.9,75.99,78,37,1.01,scattered clouds
641,Paris,FR,48.85,2.35,55.99,81,0,4.7,clear sky
642,Lavrentiya,RU,65.58,-171.0,44.49,70,98,23.09,overcast clouds
643,San Miguel,SV,13.48,-88.18,75.06,92,100,2.33,overcast clouds
644,Tuscaloosa,US,33.21,-87.57,80.6,57,1,3.36,clear sky
645,Taft,IR,31.75,54.21,71.6,17,0,2.24,clear sky
646,Labrea,BR,-7.26,-64.8,81.61,36,80,2.77,broken clouds
647,Madimba,TZ,-10.4,40.33,70.07,88,78,7.7,broken clouds
648,Guaira,BR,-20.32,-48.31,72.27,32,96,2.86,overcast clouds
649,Panji,ID,-7.73,114.1,88.9,44,71,1.83,broken clouds
650,Monthey,CH,46.26,6.96,59.0,67,20,3.36,few clouds
651,Vilyuysk,RU,63.76,121.62,51.93,59,0,7.83,clear sky
652,Semey,KZ,50.41,80.23,41.0,86,32,4.47,scattered clouds
653,Kortkeros,RU,61.81,51.58,46.4,100,20,4.47,few clouds
654,Koungou,YT,-12.73,45.2,73.4,83,75,9.17,broken clouds
655,Aransas Pass,US,27.91,-97.15,84.2,89,1,5.97,clear sky
656,Shangrao,CN,28.45,117.97,81.36,50,0,1.74,clear sky
657,Parana,AR,-31.73,-60.52,59.0,65,100,4.0,overcast clouds
658,Severo-Kurilsk,RU,50.68,156.12,58.46,86,100,8.12,overcast clouds
659,Coihaique,CL,-45.58,-72.07,39.2,86,31,1.97,scattered clouds
660,San Angelo,US,31.46,-100.44,87.8,35,1,12.75,clear sky
661,Labytnangi,RU,66.66,66.42,50.27,71,99,4.99,overcast clouds
662,Lebanon,US,36.21,-86.29,71.6,73,1,3.76,clear sky
663,Mugur-Aksy,RU,50.35,90.5,46.71,62,96,5.06,overcast clouds
664,Turmalina,BR,-17.29,-42.73,62.17,81,14,1.95,few clouds
665,Aitape,PG,-3.14,142.35,87.48,59,1,8.79,clear sky
666,Azad Shahr,IR,34.79,48.57,55.4,35,0,2.24,clear sky
667,Batticaloa,LK,7.71,81.69,80.08,68,99,8.12,overcast clouds
668,Shimoda,JP,34.67,138.95,86.0,74,40,21.92,scattered clouds
669,Horizontina,BR,-27.63,-54.31,60.01,91,91,1.99,overcast clouds
670,Alekseyevsk,RU,57.84,108.35,56.46,72,73,0.47,broken clouds
671,Mareeba,AU,-17.0,145.43,81.0,63,77,5.99,broken clouds
672,Colares,PT,38.8,-9.45,75.99,56,0,9.28,clear sky
673,Jiangyou,CN,31.77,104.72,78.26,61,0,3.94,clear sky
674,Calatayud,ES,41.35,-1.64,64.4,72,0,3.36,clear sky
675,Skopelos,GR,39.12,23.72,71.01,48,0,6.64,clear sky
676,Zhigansk,RU,66.77,123.37,48.25,71,98,18.92,overcast clouds
677,Ovalle,CL,-30.6,-71.2,53.37,71,0,1.59,clear sky
678,Niamey,NE,13.51,2.11,77.0,94,0,2.24,clear sky
679,Tongren,CN,27.72,109.19,70.92,83,84,1.25,broken clouds
680,Vallenar,CL,-28.57,-70.76,55.45,59,0,1.07,clear sky
681,Rzhev,RU,56.26,34.33,57.38,97,100,2.17,heavy intensity rain
682,Jatai,BR,-17.88,-51.71,71.94,32,1,4.65,clear sky
683,Port Hedland,AU,-20.32,118.57,80.6,44,0,11.41,clear sky
684,Brandfort,ZA,-28.7,26.46,51.8,81,0,1.12,clear sky
685,Rocha,UY,-34.48,-54.33,43.2,91,0,2.84,clear sky
686,Nabire,ID,-3.37,135.48,83.46,79,41,4.12,scattered clouds
687,Matay,EG,28.42,30.78,75.54,75,0,13.62,clear sky
688,Poum,NC,-20.23,164.02,73.38,76,100,9.35,overcast clouds
689,Shieli,KZ,44.17,66.75,54.54,40,0,8.5,clear sky
690,Rovaniemi,FI,66.5,25.72,48.2,100,75,3.36,broken clouds
691,Boyuibe,BO,-20.42,-63.28,59.34,73,100,10.8,overcast clouds
692,Cao Bang,VN,22.67,106.25,78.17,88,100,0.85,overcast clouds
693,Kupang,ID,-10.17,123.58,86.0,58,20,20.8,few clouds
694,Merauke,ID,-8.47,140.33,83.35,70,36,15.84,scattered clouds
695,Wanaka,NZ,-44.7,169.15,53.11,43,5,3.06,clear sky
696,Ahuatempan,MX,18.42,-98.02,64.99,80,100,3.0,overcast clouds
697,Tigil,RU,57.8,158.67,48.49,95,100,10.04,moderate rain
698,Rusape,ZW,-18.53,32.13,44.96,96,0,3.04,clear sky
699,Joniskis,LT,56.24,23.62,50.0,93,94,8.05,overcast clouds
700,Agadir,MA,30.42,-9.6,68.0,77,0,4.7,clear sky
701,Tarata,BO,-17.62,-66.02,66.2,42,99,8.05,overcast clouds
702,Dongsheng,CN,39.82,109.98,69.57,40,0,10.78,clear sky
703,Miles City,US,46.41,-105.84,66.2,42,1,17.22,clear sky
704,Muros,ES,42.78,-9.06,61.0,82,25,5.82,scattered clouds
705,Mehamn,NO,71.04,27.85,48.97,89,100,23.02,light rain
706,Nueva Guinea,NI,11.69,-84.46,74.79,94,100,3.83,overcast clouds
707,Sann,PK,26.04,68.14,77.0,78,0,7.11,haze
708,Varva,UA,50.49,32.72,61.39,53,0,0.74,clear sky
709,Jijiang,CN,29.29,106.25,78.01,80,2,0.63,clear sky
710,Novyy Nekouz,RU,57.9,38.07,57.76,85,100,5.5,overcast clouds
711,Zeya,RU,53.75,127.27,65.57,75,82,3.13,broken clouds
712,Kostomuksha,RU,64.57,30.58,46.49,95,62,5.39,broken clouds
713,Lawrenceburg,US,38.04,-84.9,73.4,64,1,6.93,clear sky
